long	string	string	string	float	float[]	string	string	string	string	string	string	string	string	string	string
ID	描述	角色名称	模型资源	缩放倍率	模型旋转修正	头像名称	特写名称	待机动画	移动动画	行进动画	浮空动画	起身动画	失控动画	硬直动画	死亡动画
id	describe	Name	ModelPath	Scale	Rotation	HeadImageName	CutInName	IdleAnim	MoveAnim	AdvanceAnim	FloatingAnim	GetUpAnim	UncontrollableAnim	StiffAnim	DeadAnim
999	test	test	Role/beijita/beijita_prefab			beijita_icon	beijita								
100	超赛悟空	超赛悟空	Role/sunwukong/sunwukong_prefab												
101	悟空	悟空	Role/sunwukong/sunwukong_prefab			wukong_icon	wukong								
102	超赛贝吉塔	超赛贝吉塔	Role/beijita/beijita_prefab												
103	贝吉塔	贝吉塔	Role/beijita/beijita_prefab			beijita_icon	beijita								
104	幼年孙悟饭	幼年孙悟饭	Role/youniansunwufan/youniansunwufan_prefab												
105	拉蒂兹	拉蒂兹	Role/ladizi/ladizi_prefab												
106	兰琦	未完成	Role/sunwukong/sunwukong_prefab												
107	沙鲁	未完成	Role/sunwukong/sunwukong_prefab												
108	贝吉特	未完成	Role/sunwukong/sunwukong_prefab												
109	人造人19号	人造人19号	Role/renzaoren19/renzaoren19_prefab												
110	达普拉	未完成	Role/sunwukong/sunwukong_prefab												
111	青年悟饭	未完成	Role/sunwukong/sunwukong_prefab												
112	神秘悟饭	未完成	Role/sunwukong/sunwukong_prefab												
113	比迪丽	未完成	Role/sunwukong/sunwukong_prefab												
114	萨波	未完成	Role/sunwukong/sunwukong_prefab												
115	吉斯	未完成	Role/sunwukong/sunwukong_prefab												
116	基纽	未完成	Role/sunwukong/sunwukong_prefab												
117	机器桃白白	未完成	Role/sunwukong/sunwukong_prefab												
118	超赛3悟空	未完成	Role/sunwukong/sunwukong_prefab												
119	欧布	未完成	Role/sunwukong/sunwukong_prefab												
120	排骨饭	未完成	Role/sunwukong/sunwukong_prefab												
121	比鲁斯	未完成	Role/sunwukong/sunwukong_prefab												
200	胖布欧	未完成	Role/sunwukong/sunwukong_prefab												
201	天津饭	未完成	Role/sunwukong/sunwukong_prefab												
202	龟仙人	未完成	Role/sunwukong/sunwukong_prefab												
203	人造人16号	人造人16号	Role/renzaoren16/renzaoren16_prefab												
204	人造人17号	人造人17号	Role/renzaoren17/renzaoren17_prefab												
205	那巴	未完成	Role/sunwukong/sunwukong_prefab												
206	琪琪	未完成	Role/sunwukong/sunwukong_prefab												
207	利库姆	未完成	Role/sunwukong/sunwukong_prefab												
208	特兰克斯	未完成	Role/sunwukong/sunwukong_prefab												
209	多多利亚	未完成	Role/sunwukong/sunwukong_prefab												
210	超赛布罗利	未完成	Role/sunwukong/sunwukong_prefab												
211	库鲁德大王	未完成	Role/sunwukong/sunwukong_prefab												
212	悟吉塔	未完成	Role/sunwukong/sunwukong_prefab												
213	卡比克二世	未完成	Role/sunwukong/sunwukong_prefab												
300	比克	未完成	Role/sunwukong/sunwukong_prefab												
301	弗利萨	弗利萨	Role/fulisa/fulisa_Prefab			fulisa_icon	fulisa								
302	克林	克林	Role/xiaolin/xiaolin_Prefab			xiaolin_icon	xiaolin								
303	未来特南克斯	未完成	Role/sunwukong/sunwukong_prefab												
304	雅木茶	未完成	Role/sunwukong/sunwukong_prefab												
305	悟天克斯	未完成	Role/sunwukong/sunwukong_prefab												
306	饺子	未完成	Role/sunwukong/sunwukong_prefab												
307	人造人18号	未完成	Role/sunwukong/sunwukong_prefab												
308	布尔玛	未完成	Role/sunwukong/sunwukong_prefab												
309	未来特兰克斯	未完成	Role/sunwukong/sunwukong_prefab												
310	巴达	未完成	Role/sunwukong/sunwukong_prefab												
311	古鲁多	未完成	Role/sunwukong/sunwukong_prefab												
312	人造人20号	人造人20号	Role/renzaoren20/renzaoren20_prefab												
313	？？？	未完成	Role/sunwukong/sunwukong_prefab												
314	丹迪	未完成	Role/sunwukong/sunwukong_prefab												
315	黄金弗利萨	未完成	Role/sunwukong/sunwukong_prefab												
316	原始布欧	未完成	Role/sunwukong/sunwukong_prefab												
317	孙悟天	未完成	Role/sunwukong/sunwukong_prefab												
318	斑斑	未完成	Role/sunwukong/sunwukong_prefab												
319	维斯	未完成	Role/sunwukong/sunwukong_prefab												
1112	布欧	布欧	Role/buou/buou_Prefab			buou_icon	buou								
1114	悟天克斯	悟天克斯	Role/wutiankesi/wutiankesi_Prefab			wutiankesi_icon	wutiankesi								
2113	大猩猩	大猩猩	Role/daxingxing/daxingxing_prefab			daxingxing_icon									
